experiment_id,subaction_index,narration_id,narration,verb,noun,all_nouns,start_frame_0_based,stop_frame_0_based,raw_candidate_count,episode_filtered_candidate_count,deep_run_candidate_count,episode_decision,episode_reason,subaction_new_contact_count,episode_start_frames_0_based,episode_hands
E15,0,P01_109_0,grab rucksack,grab,rucksack,['rucksack'],78,125,48,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,88,left
E15,1,P01_109_1,open rucksack,open,rucksack,['rucksack'],152,225,97,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,161,right
E15,2,P01_109_2,pick up eggs,pick-up,egg,['egg'],251,318,133,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,256,right
E15,3,P01_109_3,put down eggs,put-down,egg,['egg'],318,373,36,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,362,left
E15,4,P01_109_4,pick up onion and potato,pick-up,onion,"['onion', 'potato']",423,474,104,0,0,continuation_contact_run,contact_present_but_run_started_before_subaction,0,,
E15,5,P01_109_5,put down onion and potato,put-down,onion,"['onion', 'potato']",479,522,31,0,0,continuation_contact_run,contact_present_but_run_started_before_subaction,0,,
E15,6,P01_109_8,pick up potato,pick-up,potato,['potato'],499,621,140,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,527,right
E15,7,P01_109_6,pick up potatoes,pick-up,potato,['potato'],542,578,74,0,0,continuation_contact_run,contact_present_but_run_started_before_subaction,0,,
E15,8,P01_109_7,put down potatoes,put-down,potato,['potato'],549,733,190,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,628,left
E15,9,P01_109_9,put down potato,put-down,potato,['potato'],624,751,136,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,628,left
E15,10,P01_109_10,pick up beers,pick-up,beer,['beer'],737,844,174,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,774,left
E15,11,P01_109_11,open freezer,open,freezer,['freezer'],875,1021,141,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,980,right
E15,12,P01_109_12,open drawer,open,drawer,['drawer'],1044,1122,132,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,1070,left
E15,13,P01_109_13,put beer into drawer,put-into,beer,"['beer', 'drawer']",1138,1352,278,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,1180,right
E15,14,P01_109_14,put beer into drawer,put-into,beer,"['beer', 'drawer']",1229,1282,71,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,1258,right
E15,15,P01_109_15,put beer into drawer,put-into,beer,"['beer', 'drawer']",1297,1334,67,0,0,continuation_contact_run,contact_present_but_run_started_before_subaction,0,,
E15,16,P01_109_16,close drawer,close,drawer,['drawer'],1344,1400,60,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,1345,left
E15,17,P01_109_17,close freezer,close,freezer,['freezer'],1418,1463,35,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,1422,left
E15,18,P01_109_18,pick up rucksack,pick-up,rucksack,['rucksack'],1484,1526,36,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,1496,right
E15,19,P01_109_19,put down rucksack,put-down,rucksack,['rucksack'],1656,1697,27,0,0,continuation_contact_run,contact_present_but_run_started_before_subaction,0,,
E15,20,P01_109_20,close door,close,door,['door'],1811,1945,33,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,1827,left
E15,21,P01_109_21,pick up cup,pick-up,cup,['cup'],2083,2119,6,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,2088,left
E15,22,P01_109_22,put down cup,put-down,cup,['cup'],2131,2192,25,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,2142,right
E15,23,P01_109_23,pick up spoon,pick-up,spoon,['spoon'],2205,2235,11,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,2213,right
E15,24,P01_109_24,open drawer,open,drawer,['drawer'],2268,2331,47,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,2325,left
E15,25,P01_109_25,put spoon into drawer,put-into,spoon,"['spoon', 'drawer']",2335,2377,29,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,2341,right
E15,26,P01_109_26,close drawer,close,drawer,['drawer'],2376,2409,0,0,0,no_contact_candidate,no_smoothed_contact_in_subaction,0,,
E15,27,P01_109_27,pour hand wash,pour,wash:hand,['wash:hand'],2465,2504,10,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,2468,right
E15,28,P01_109_28,wash hands,wash,hand,['hand'],2477,2539,8,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,2484,right
E15,29,P01_109_29,turn on tap,turn-on,tap,['tap'],2544,2574,38,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,2550,right
E15,30,P01_109_30,rinse hands,rinse,hand,['hand'],2578,2962,164,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,2708,left
E15,31,P01_109_31,turn off tap,turn-off,tap,['tap'],2966,2988,10,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,2968,left
E15,32,P01_109_32,shake hands,shake,hand,['hand'],3000,3071,24,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,3009,left
E15,33,P01_109_33,pick up cloth,pick-up,cloth,['cloth'],3083,3139,26,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,3088,left
E15,34,P01_109_34,dry hands,dry,hand,['hand'],3093,3348,112,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,3121,left
E15,35,P01_109_35,put down cloth,put-down,cloth,['cloth'],3348,3371,35,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,3356,left
E15,36,P01_109_36,pick up potatoes,pick-up,potato,['potato'],3373,3495,214,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,3392,left
E15,37,P01_109_37,put down potatoes,put-down,potato,['potato'],3516,3551,56,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,3549,left
E15,38,P01_109_38,move potatoes,move,potato,['potato'],3639,3705,42,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,3654,left
E15,39,P01_109_39,open cupboard,open,cupboard,['cupboard'],3718,3798,55,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,3718,left
E15,40,P01_109_40,move pans,move,pan,['pan'],3825,4047,301,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,3837,right
E15,41,P01_109_41,pick up pan,pick-up,pan,['pan'],4037,4097,122,0,0,continuation_contact_run,contact_present_but_run_started_before_subaction,0,,
E15,42,P01_109_42,put down pan,put-down,pan,['pan'],4208,4279,107,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,4273,left
E15,43,P01_109_44,put down pan,put-down,pan,['pan'],4268,4352,142,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,4273,left
E15,44,P01_109_43,pick up pan,pick-up,pan,['pan'],4329,4385,36,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,4380,right
E15,45,P01_109_45,put down pan,put-down,pan,['pan'],4378,4431,56,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,4380,right
E15,46,P01_109_46,pick up cutting board,pick-up,board:cutting,['board:cutting'],4509,4603,70,1,1,new_contact_episode,first_smoothed_contact_run_start_within_subaction,1,4511,left
