experiment_id,subaction_index,narration_id,narration,verb,noun,all_nouns,start_frame_0_based,stop_frame_0_based,raw_candidate_count,episode_filtered_candidate_count,deep_run_candidate_count,episode_decision,episode_reason,subaction_new_contact_count,episode_start_frames_0_based,episode_hands
E13,0,P01_109_0,grab rucksack,grab,rucksack,['rucksack'],78,125,48,3,7,new_contact_episode,smoothed_contact_run_start_within_subaction,3,88;93;97,left;right;right
E13,1,P01_109_1,open rucksack,open,rucksack,['rucksack'],152,225,97,8,20,new_contact_episode,smoothed_contact_run_start_within_subaction,8,161;166;170;175;178;180;197;198,right;right;left;left;right;right;right;left
E13,2,P01_109_2,pick up eggs,pick-up,egg,['egg'],251,318,133,1,3,new_contact_episode,smoothed_contact_run_start_within_subaction,1,256,right
E13,3,P01_109_3,put down eggs,put-down,egg,['egg'],318,373,36,3,9,new_contact_episode,smoothed_contact_run_start_within_subaction,3,362;369;371,left;left;right
E13,4,P01_109_4,pick up onion and potato,pick-up,onion,"['onion', 'potato']",423,474,104,0,0,continuation_contact_run,contact_present_but_run_started_before_subaction,0,,
E13,5,P01_109_5,put down onion and potato,put-down,onion,"['onion', 'potato']",479,522,31,0,0,continuation_contact_run,contact_present_but_run_started_before_subaction,0,,
E13,6,P01_109_8,pick up potato,pick-up,potato,['potato'],499,621,140,2,6,new_contact_episode,smoothed_contact_run_start_within_subaction,2,527;528,right;left
E13,7,P01_109_6,pick up potatoes,pick-up,potato,['potato'],542,578,74,0,0,continuation_contact_run,contact_present_but_run_started_before_subaction,0,,
E13,8,P01_109_7,put down potatoes,put-down,potato,['potato'],549,733,190,9,21,new_contact_episode,smoothed_contact_run_start_within_subaction,9,628;632;637;645;656;673;686;689;720,left;right;right;left;left;right;left;left;left
E13,9,P01_109_9,put down potato,put-down,potato,['potato'],624,751,136,11,27,new_contact_episode,smoothed_contact_run_start_within_subaction,11,628;632;637;645;656;673;686;689;720;734;734,left;right;right;left;left;right;left;left;left;left;right
E13,10,P01_109_10,pick up beers,pick-up,beer,['beer'],737,844,174,3,9,new_contact_episode,smoothed_contact_run_start_within_subaction,3,774;784;785,left;right;left
E13,11,P01_109_11,open freezer,open,freezer,['freezer'],875,1021,141,2,6,new_contact_episode,smoothed_contact_run_start_within_subaction,2,980;1006,right;right
E13,12,P01_109_12,open drawer,open,drawer,['drawer'],1044,1122,132,1,3,new_contact_episode,smoothed_contact_run_start_within_subaction,1,1070,left
E13,13,P01_109_13,put beer into drawer,put-into,beer,"['beer', 'drawer']",1138,1352,278,14,36,new_contact_episode,smoothed_contact_run_start_within_subaction,14,1180;1201;1207;1258;1260;1271;1271;1288;1293;1339;1342;1345;1345;1352,right;left;right;right;left;left;right;left;left;left;left;left;right;right
E13,14,P01_109_14,put beer into drawer,put-into,beer,"['beer', 'drawer']",1229,1282,71,4,12,new_contact_episode,smoothed_contact_run_start_within_subaction,4,1258;1260;1271;1271,right;left;left;right
E13,15,P01_109_15,put beer into drawer,put-into,beer,"['beer', 'drawer']",1297,1334,67,0,0,continuation_contact_run,contact_present_but_run_started_before_subaction,0,,
E13,16,P01_109_16,close drawer,close,drawer,['drawer'],1344,1400,60,9,21,new_contact_episode,smoothed_contact_run_start_within_subaction,9,1345;1345;1352;1354;1357;1357;1359;1375;1390,left;right;right;left;left;right;left;left;right
E13,17,P01_109_17,close freezer,close,freezer,['freezer'],1418,1463,35,1,3,new_contact_episode,smoothed_contact_run_start_within_subaction,1,1422,left
E13,18,P01_109_18,pick up rucksack,pick-up,rucksack,['rucksack'],1484,1526,36,4,8,new_contact_episode,smoothed_contact_run_start_within_subaction,4,1496;1518;1521;1523,right;right;right;right
E13,19,P01_109_19,put down rucksack,put-down,rucksack,['rucksack'],1656,1697,27,0,0,continuation_contact_run,contact_present_but_run_started_before_subaction,0,,
E13,20,P01_109_20,close door,close,door,['door'],1811,1945,33,7,17,new_contact_episode,smoothed_contact_run_start_within_subaction,7,1827;1841;1848;1850;1861;1906;1916,left;left;right;right;right;right;right
E13,21,P01_109_21,pick up cup,pick-up,cup,['cup'],2083,2119,6,2,6,new_contact_episode,smoothed_contact_run_start_within_subaction,2,2088;2092,left;right
E13,22,P01_109_22,put down cup,put-down,cup,['cup'],2131,2192,25,2,6,new_contact_episode,smoothed_contact_run_start_within_subaction,2,2142;2177,right;right
E13,23,P01_109_23,pick up spoon,pick-up,spoon,['spoon'],2205,2235,11,1,3,new_contact_episode,smoothed_contact_run_start_within_subaction,1,2213,right
E13,24,P01_109_24,open drawer,open,drawer,['drawer'],2268,2331,47,1,3,new_contact_episode,smoothed_contact_run_start_within_subaction,1,2325,left
E13,25,P01_109_25,put spoon into drawer,put-into,spoon,"['spoon', 'drawer']",2335,2377,29,4,8,new_contact_episode,smoothed_contact_run_start_within_subaction,4,2341;2343;2347;2354,right;right;right;right
E13,26,P01_109_26,close drawer,close,drawer,['drawer'],2376,2409,0,0,0,no_contact_candidate,no_smoothed_contact_in_subaction,0,,
E13,27,P01_109_27,pour hand wash,pour,wash:hand,['wash:hand'],2465,2504,10,3,9,new_contact_episode,smoothed_contact_run_start_within_subaction,3,2468;2476;2484,right;right;right
E13,28,P01_109_28,wash hands,wash,hand,['hand'],2477,2539,8,2,5,new_contact_episode,smoothed_contact_run_start_within_subaction,2,2484;2538,right;left
E13,29,P01_109_29,turn on tap,turn-on,tap,['tap'],2544,2574,38,3,7,new_contact_episode,smoothed_contact_run_start_within_subaction,3,2550;2567;2573,right;right;right
E13,30,P01_109_30,rinse hands,rinse,hand,['hand'],2578,2962,164,25,68,new_contact_episode,smoothed_contact_run_start_within_subaction,25,2708;2717;2718;2723;2749;2750;2785;2787;2799;2826;2832;2838;2838;2840;2851;2852;2867;2867;2873;2887;2904;2906;2919;2919;2956,left;left;right;left;left;right;left;right;left;right;right;left;right;right;left;right;left;right;left;left;left;right;left;right;right
E13,31,P01_109_31,turn off tap,turn-off,tap,['tap'],2966,2988,10,2,6,new_contact_episode,smoothed_contact_run_start_within_subaction,2,2968;2978,left;left
E13,32,P01_109_32,shake hands,shake,hand,['hand'],3000,3071,24,3,8,new_contact_episode,smoothed_contact_run_start_within_subaction,3,3009;3029;3040,left;left;left
E13,33,P01_109_33,pick up cloth,pick-up,cloth,['cloth'],3083,3139,26,3,9,new_contact_episode,smoothed_contact_run_start_within_subaction,3,3088;3121;3136,left;left;right
