sample_key,rel_sample_dir,subaction_index,narration_id,hand,reference_mode,ref_idx,sample_dir,reference_frame,label_heatmap_npy,labels_json,npy_sha256,reference_sha256,status,backend_final,final_policy,qc_passed_final,path_final,path_mask,mask_area_ratio,skin_ratio_after_final,boundary_delta_final,overlap_heatmap_top,overlap_crop150,inpaint_on_label_region,redraw_selfcheck_max_diff,path_overlay_inpainted,path_affordance_inpainted,tier
subaction_00_P01_109_0__episode_01_left__frame_000088_left,subaction_00_P01_109_0/episode_01_left/frame_000088_left,0,P01_109_0,left,active_hand_invisible_pre_contact,69,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/labels.json,01dff282654478bf02ed105600d66174d338c05374798ff066a4ce20f16aa002,308ebd5c1b1649aa44c84ffe3ddfa1a41f2149a246947d780546ec87a5ad8a4d,final_inpainted_qc_failed,lama,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/reference_hand_mask.png,0.0,,,0.0,0.0,False,0,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/label_heatmap_merged_overlay_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_00_P01_109_0/episode_01_left/frame_000088_left/vrb_style_affordance_inpainted.png,B
subaction_01_P01_109_1__episode_01_right__frame_000161_right,subaction_01_P01_109_1/episode_01_right/frame_000161_right,1,P01_109_1,right,active_hand_invisible_pre_contact,90,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/labels.json,800c4b89abd5fc9e0a405655bfe9bcab8788020408c4eb15742c78575a416a7d,d8b0eab5197ec465b0d4f3efb8e9ce60787448d0d46afd20b6d7c093c3d4f0fc,final_inpainted_qc_failed,lama,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/reference_hand_mask.png,0.0384114583333333,0.1117375704766786,0.0,0.0,0.0626666666666666,False,0,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/label_heatmap_merged_overlay_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_01_P01_109_1/episode_01_right/frame_000161_right/vrb_style_affordance_inpainted.png,B
subaction_06_P01_109_8__episode_01_right__frame_000527_right,subaction_06_P01_109_8/episode_01_right/frame_000527_right,6,P01_109_8,right,active_hand_invisible_pre_contact,511,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/labels.json,de9fc67bd038a8d86c7021212f0630eba97fa63951c917ad79c659f2784743df,1a541e255a815645bfadc9c23df0bfb7f161ed27f6611d803cca96fc70fc2793,final_inpainted_qc_failed,lama,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/reference_hand_mask.png,0.053770901864035,0.3309253525971792,0.0,0.0,0.0,False,0,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/label_heatmap_merged_overlay_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right/vrb_style_affordance_inpainted.png,B
subaction_08_P01_109_7__episode_01_left__frame_000628_left,subaction_08_P01_109_7/episode_01_left/frame_000628_left,8,P01_109_7,left,active_hand_invisible_pre_contact,609,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/labels.json,c5575379d075b0c4d47bb9b763e7a81cb6d9b95204f5108c29a62a817560fd40,b69ab6a8e6469b333006c758d674bfb4f0252759b1cbc6db18717b6af5ff3134,final_inpainted_qc_failed,sd,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/reference_hand_mask.png,0.0,,,0.0,0.0,False,0,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/label_heatmap_merged_overlay_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_08_P01_109_7/episode_01_left/frame_000628_left/vrb_style_affordance_inpainted.png,B
subaction_09_P01_109_9__episode_01_left__frame_000628_left,subaction_09_P01_109_9/episode_01_left/frame_000628_left,9,P01_109_9,left,active_hand_invisible_pre_contact,609,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/labels.json,c5575379d075b0c4d47bb9b763e7a81cb6d9b95204f5108c29a62a817560fd40,b69ab6a8e6469b333006c758d674bfb4f0252759b1cbc6db18717b6af5ff3134,final_inpainted_qc_failed,sd,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/reference_hand_mask.png,0.0,,,0.0,0.0,False,0,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/label_heatmap_merged_overlay_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_09_P01_109_9/episode_01_left/frame_000628_left/vrb_style_affordance_inpainted.png,B
subaction_10_P01_109_10__episode_01_left__frame_000774_left,subaction_10_P01_109_10/episode_01_left/frame_000774_left,10,P01_109_10,left,active_hand_invisible_pre_contact,711,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/labels.json,d9a77c1cde8b6b24b9a3c0c9343bbfe1fd15d5dc82f1ba3c82bea3f61f0e3787,5b648e015a8889d33d9504d7f2ba199799b5f6b161ef4453dc23f3b1189c7277,final_inpainted_qc_failed,lama,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/reference_hand_mask.png,0.0,,,0.0,0.0,False,0,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/label_heatmap_merged_overlay_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_10_P01_109_10/episode_01_left/frame_000774_left/vrb_style_affordance_inpainted.png,B
subaction_12_P01_109_12__episode_01_left__frame_001070_left,subaction_12_P01_109_12/episode_01_left/frame_001070_left,12,P01_109_12,left,active_hand_invisible_pre_contact,1068,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/labels.json,688846906f691af9c821495599b2419411a3b9d280b33c9fb8750a5731fa0e4d,c2ab7b8427ef21bbd29e4b04c353ab41d5c86483f6a16f4b6ca66c8773e841b9,final_inpainted_qc_failed,sd,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/reference_hand_mask.png,0.0670829906798245,0.5786907048913846,0.0,0.0,0.0,False,0,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/label_heatmap_merged_overlay_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left/vrb_style_affordance_inpainted.png,B
subaction_13_P01_109_13__episode_01_right__frame_001182_right,subaction_13_P01_109_13/episode_01_right/frame_001182_right,13,P01_109_13,right,min_hand_object_iou_pre_contact_fallback,1146,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/labels.json,28a085bb0908ed892da6455c838032ce04c5ef668387743025b88f811ef072ce,b0f83c167fc441abd854b1e24d2b3c265d586ceb29ed30f104fbae3a622bc28d,final_inpainted_qc_failed,lama,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/reference_hand_mask.png,0.0555955317982456,0.7370289998027224,0.0,0.4569444444444444,0.1175111111111111,True,0,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/label_heatmap_merged_overlay_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_13_P01_109_13/episode_01_right/frame_001182_right/vrb_style_affordance_inpainted.png,B
subaction_14_P01_109_14__episode_01_right__frame_001258_right,subaction_14_P01_109_14/episode_01_right/frame_001258_right,14,P01_109_14,right,active_hand_invisible_pre_contact,1256,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/labels.json,062527fc662af0644386a068252a02a45a79e4cf52e1c07ee9766bbf7d95ba3e,346415868b5f08ca687c10f125b5e422d58abd20defac50450556cc61e72df9f,final_inpainted,lama,prefer_generated,True,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/reference_hand_mask.png,0.0384371573464912,0.0333079074497838,0.0,0.9796380090497736,0.1976,True,0,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/label_heatmap_merged_overlay_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_14_P01_109_14/episode_01_right/frame_001258_right/vrb_style_affordance_inpainted.png,B
subaction_16_P01_109_16__episode_01_left__frame_001345_left,subaction_16_P01_109_16/episode_01_left/frame_001345_left,16,P01_109_16,left,active_hand_invisible_pre_contact,1258,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/reference_frame.png,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/label_heatmap_merged.npy,outputs/e20-a/export/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/labels.json,d74c7d5047a6a0d1f0c8e551ea13f358eb1035ca097f8e8e76e442ba1a867828,45e9bd59a3806227a4df8b355826672c81a6a6828aea0eace4597c2e6f7eb6d7,final_inpainted_qc_failed,lama,prefer_generated,False,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/reference_frame_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/reference_hand_mask.png,0.0863743832236842,0.3240098456030432,0.0,0.0,0.0067555555555555,False,0,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/label_heatmap_merged_overlay_inpainted.png,outputs/e20-a/experiments/E20/pipeline_outputs/subaction_16_P01_109_16/episode_01_left/frame_001345_left/vrb_style_affordance_inpainted.png,B
