experiment_id,experiment_name,subaction_index,narration_id,narration,verb,noun,all_nouns,frames_1_based,subaction_new_contact_count,candidates,cell2_pass,ref_found,homography_available,geometry_pass,heatmap_pass,final_samples,best_frame_0_based,best_ref_idx,best_score,best_sample_dir,best_episode_contact_start_frame_0_based,best_candidate_frame_offset_from_episode_start,main_failure,episode_decision,episode_final_label,episode_id,episode_reason
E14,E14_closest_clean_pre_contact_reference,0,P01_109_0,grab rucksack,grab,rucksack,['rucksack'],79-126,1,1,1,0,0,0,0,0,,,,,,,no_clean_pre_contact_reference,new_contact_episode,new_contact_episode,,first_smoothed_contact_run_start_within_subaction
E14,E14_closest_clean_pre_contact_reference,1,P01_109_1,open rucksack,open,rucksack,['rucksack'],153-226,1,1,1,0,0,0,0,0,,,,,,,no_clean_pre_contact_reference,new_contact_episode,new_contact_episode,,first_smoothed_contact_run_start_within_subaction
E14,E14_closest_clean_pre_contact_reference,2,P01_109_2,pick up eggs,pick-up,egg,['egg'],252-319,1,1,0,0,0,0,0,0,,,,,,,contact_points_lt5_after_object_boundary_filter,new_contact_episode,new_contact_episode,,first_smoothed_contact_run_start_within_subaction
E14,E14_closest_clean_pre_contact_reference,3,P01_109_3,put down eggs,put-down,egg,['egg'],319-374,1,1,1,1,1,0,0,0,,,,,,,trajectory_out_of_bounds_t+3,new_contact_episode,new_contact_episode,,first_smoothed_contact_run_start_within_subaction
E14,E14_closest_clean_pre_contact_reference,4,P01_109_4,pick up onion and potato,pick-up,onion,"['onion', 'potato']",424-475,0,1,0,0,0,0,0,0,,,,,,,continuation_contact_run,continuation_contact_run,continuation_contact_run,,contact_present_but_run_started_before_subaction
E14,E14_closest_clean_pre_contact_reference,5,P01_109_5,put down onion and potato,put-down,onion,"['onion', 'potato']",480-523,0,1,0,0,0,0,0,0,,,,,,,continuation_contact_run,continuation_contact_run,continuation_contact_run,,contact_present_but_run_started_before_subaction
E14,E14_closest_clean_pre_contact_reference,6,P01_109_8,pick up potato,pick-up,potato,['potato'],500-622,1,1,1,1,1,1,1,1,527.0,511.0,5.8662093862815885,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_06_P01_109_8/episode_01_right/frame_000527_right,527.0,0.0,,new_contact_episode,new_contact_episode,,first_smoothed_contact_run_start_within_subaction
E14,E14_closest_clean_pre_contact_reference,7,P01_109_6,pick up potatoes,pick-up,potato,['potato'],543-579,0,1,0,0,0,0,0,0,,,,,,,continuation_contact_run,continuation_contact_run,continuation_contact_run,,contact_present_but_run_started_before_subaction
E14,E14_closest_clean_pre_contact_reference,8,P01_109_7,put down potatoes,put-down,potato,['potato'],550-734,1,1,1,0,0,0,0,0,,,,,,,no_clean_pre_contact_reference,new_contact_episode,new_contact_episode,,first_smoothed_contact_run_start_within_subaction
E14,E14_closest_clean_pre_contact_reference,9,P01_109_9,put down potato,put-down,potato,['potato'],625-752,1,1,1,0,0,0,0,0,,,,,,,no_clean_pre_contact_reference,new_contact_episode,new_contact_episode,,first_smoothed_contact_run_start_within_subaction
E14,E14_closest_clean_pre_contact_reference,10,P01_109_10,pick up beers,pick-up,beer,['beer'],738-845,1,1,1,0,0,0,0,0,,,,,,,no_clean_pre_contact_reference,new_contact_episode,new_contact_episode,,first_smoothed_contact_run_start_within_subaction
E14,E14_closest_clean_pre_contact_reference,11,P01_109_11,open freezer,open,freezer,['freezer'],876-1022,1,1,0,0,0,0,0,0,,,,,,,missing_hand_or_object_bbox,new_contact_episode,new_contact_episode,,first_smoothed_contact_run_start_within_subaction
E14,E14_closest_clean_pre_contact_reference,12,P01_109_12,open drawer,open,drawer,['drawer'],1045-1123,1,1,1,1,1,1,1,1,1070.0,1069.0,6.166666666666667,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_12_P01_109_12/episode_01_left/frame_001070_left,1070.0,0.0,,new_contact_episode,new_contact_episode,,first_smoothed_contact_run_start_within_subaction
E14,E14_closest_clean_pre_contact_reference,13,P01_109_13,put beer into drawer,put-into,beer,"['beer', 'drawer']",1139-1353,1,1,0,0,0,0,0,0,,,,,,,missing_hand_or_object_bbox,new_contact_episode,new_contact_episode,,first_smoothed_contact_run_start_within_subaction
E14,E14_closest_clean_pre_contact_reference,14,P01_109_14,put beer into drawer,put-into,beer,"['beer', 'drawer']",1230-1283,1,1,1,0,0,0,0,0,,,,,,,no_clean_pre_contact_reference,new_contact_episode,new_contact_episode,,first_smoothed_contact_run_start_within_subaction
E14,E14_closest_clean_pre_contact_reference,15,P01_109_15,put beer into drawer,put-into,beer,"['beer', 'drawer']",1298-1335,0,1,0,0,0,0,0,0,,,,,,,continuation_contact_run,continuation_contact_run,continuation_contact_run,,contact_present_but_run_started_before_subaction
E14,E14_closest_clean_pre_contact_reference,16,P01_109_16,close drawer,close,drawer,['drawer'],1345-1401,1,1,1,0,0,0,0,0,,,,,,,no_clean_pre_contact_reference,new_contact_episode,new_contact_episode,,first_smoothed_contact_run_start_within_subaction
E14,E14_closest_clean_pre_contact_reference,17,P01_109_17,close freezer,close,freezer,['freezer'],1419-1464,1,1,1,1,1,1,1,1,1422.0,1420.0,7.31566265060241,/Users/huhu/Documents/Code/bishe/vrb/vrbreproduction/outputs/e14/experiments/E14/pipeline_outputs/subaction_17_P01_109_17/episode_01_left/frame_001422_left,1422.0,0.0,,new_contact_episode,new_contact_episode,,first_smoothed_contact_run_start_within_subaction
E14,E14_closest_clean_pre_contact_reference,18,P01_109_18,pick up rucksack,pick-up,rucksack,['rucksack'],1485-1527,1,1,1,0,0,0,0,0,,,,,,,no_clean_pre_contact_reference,new_contact_episode,new_contact_episode,,first_smoothed_contact_run_start_within_subaction
